Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=2.005, TAw acc= 48.2% |
| Epoch  57, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.756, TAw acc= 53.3% |
| Epoch  58, time=  2.6s | Train: skip eval | Valid: time=  0.8s loss=2.107, TAw acc= 46.5% |
| Epoch  59, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=2.126, TAw acc= 48.6% |
| Epoch  60, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=2.198, TAw acc= 43.8% |
| Epoch  61, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=2.076, TAw acc= 47.6% |
| Epoch  62, time=  2.9s | Train: skip eval | Valid: time=  0.6s loss=2.004, TAw acc= 45.7% |
| Epoch  63, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.589, TAw acc= 59.0% | *
| Epoch  64, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=2.208, TAw acc= 45.5% |
| Epoch  65, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.768, TAw acc= 50.5% |
| Epoch  66, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.669, TAw acc= 56.6% |
| Epoch  67, time=  2.1s | Train: skip eval | Valid: time=  0.8s loss=1.652, TAw acc= 55.4% |
| Epoch  68, time=  2.1s | Train: skip eval | Valid: time=  0.7s loss=1.913, TAw acc= 50.7% |
| Epoch  69, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.735, TAw acc= 54.7% |
| Epoch  70, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.663, TAw acc= 56.2% |
| Epoch  71, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=2.046, TAw acc= 48.6% |
| Epoch  72, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.741, TAw acc= 56.2% |
| Epoch  73, time=  2.9s | Train: skip eval | Valid: time=  0.7s loss=1.593, TAw acc= 58.3% |
| Epoch  74, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=1.626, TAw acc= 58.1% |
| Epoch  75, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.925, TAw acc= 48.6% |
| Epoch  76, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=2.665, TAw acc= 41.5% |
| Epoch  77, time=  2.6s | Train: skip eval | Valid: time=  0.7s loss=1.746, TAw acc= 54.7% |
| Epoch  78, time=  2.8s | Train: skip eval | Valid: time=  0.7s loss=1.704, TAw acc= 54.5% |
| Epoch  79, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.840, TAw acc= 49.0% |
| Epoch  80, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.789, TAw acc= 53.7% | lr=1.0e-02
| Epoch  81, time=  2.7s | Train: skip eval | Valid: time=  0.7s loss=1.339, TAw acc= 63.6% | *
| Epoch  82, time=  2.8s | Train: skip eval | Valid: time=  0.6s loss=1.252, TAw acc= 66.3% | *
| Epoch  83, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.235, TAw acc= 67.4% | *
| Epoch  84, time=  2.7s | Train: skip eval | Valid: time=  0.8s loss=1.230, TAw acc= 65.7% | *
| Epoch  85, time=  2.9s | Train: skip eval | Valid: time=  0.9s loss=1.235, TAw acc= 65.1% |
| Epoch  86, time=  2.6s | Train: skip eval | Valid: time=  0.6s loss=1.272, TAw acc= 63.8% |
| Epoch  87, time=  2.7s | Train: skip eval | Valid: time=  0.6s loss=1.260, TAw acc= 64.2% |
| Epoch  88, time=  2.8s | Train: skip eval | Valid: time=  0.8s loss=1.246, TAw acc= 64.2% |
