Files already downloaded and verified
Files already downloaded and verified
11
11
11
[(0, 50), (1, 5), (2, 5), (3, 5), (4, 5), (5, 5), (6, 5), (7, 5), (8, 5), (9, 5), (10, 5)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time=  8.5s | Train: skip eval | Valid: time=  0.7s loss=1.645, TAw acc= 53.4% |
| Epoch  57, time= 10.6s | Train: skip eval | Valid: time=  1.1s loss=1.589, TAw acc= 53.6% |
| Epoch  58, time= 10.8s | Train: skip eval | Valid: time=  0.9s loss=1.478, TAw acc= 57.8% |
| Epoch  59, time= 10.8s | Train: skip eval | Valid: time=  1.4s loss=1.637, TAw acc= 54.6% |
| Epoch  60, time= 10.7s | Train: skip eval | Valid: time=  1.2s loss=1.582, TAw acc= 56.1% |
| Epoch  61, time= 10.6s | Train: skip eval | Valid: time=  1.2s loss=1.659, TAw acc= 53.0% |
| Epoch  62, time= 10.5s | Train: skip eval | Valid: time=  1.3s loss=1.657, TAw acc= 53.4% |
| Epoch  63, time= 10.6s | Train: skip eval | Valid: time=  1.3s loss=1.582, TAw acc= 56.2% |
| Epoch  64, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=1.537, TAw acc= 56.6% |
| Epoch  65, time= 10.5s | Train: skip eval | Valid: time=  1.1s loss=1.741, TAw acc= 52.4% |
| Epoch  66, time= 10.8s | Train: skip eval | Valid: time=  1.3s loss=1.615, TAw acc= 53.6% |
| Epoch  67, time= 10.8s | Train: skip eval | Valid: time=  1.2s loss=1.490, TAw acc= 58.0% |
| Epoch  68, time= 10.6s | Train: skip eval | Valid: time=  1.1s loss=1.655, TAw acc= 53.5% |
| Epoch  69, time= 10.8s | Train: skip eval | Valid: time=  1.2s loss=1.460, TAw acc= 57.4% |
| Epoch  70, time= 10.6s | Train: skip eval | Valid: time=  1.1s loss=1.702, TAw acc= 53.7% |
| Epoch  71, time= 10.7s | Train: skip eval | Valid: time=  1.2s loss=1.555, TAw acc= 55.0% |
| Epoch  72, time= 10.7s | Train: skip eval | Valid: time=  1.1s loss=1.597, TAw acc= 55.6% |
| Epoch  73, time= 10.6s | Train: skip eval | Valid: time=  1.1s loss=1.619, TAw acc= 53.9% |
| Epoch  74, time= 10.6s | Train: skip eval | Valid: time=  1.4s loss=1.427, TAw acc= 58.6% | *
| Epoch  75, time= 10.9s | Train: skip eval | Valid: time=  1.2s loss=1.688, TAw acc= 52.0% |
| Epoch  76, time= 10.8s | Train: skip eval | Valid: time=  1.0s loss=1.477, TAw acc= 58.3% |
| Epoch  77, time= 10.7s | Train: skip eval | Valid: time=  1.2s loss=1.576, TAw acc= 54.7% |
| Epoch  78, time= 10.9s | Train: skip eval | Valid: time=  1.1s loss=1.676, TAw acc= 51.4% |
| Epoch  79, time= 10.8s | Train: skip eval | Valid: time=  1.2s loss=1.437, TAw acc= 59.0% |
| Epoch  80, time= 10.6s | Train: skip eval | Valid: time=  1.2s loss=1.970, TAw acc= 49.7% | lr=1.0e-02
| Epoch  81, time= 10.6s | Train: skip eval | Valid: time=  1.1s loss=1.010, TAw acc= 70.4% | *
| Epoch  82, time= 11.6s | Train: skip eval | Valid: time=  1.8s loss=0.978, TAw acc= 71.5% | *
| Epoch  83, time= 12.3s | Train: skip eval | Valid: time=  2.0s loss=0.963, TAw acc= 71.6% | *
| Epoch  84, time= 12.7s | Train: skip eval | Valid: time=  1.9s loss=0.987, TAw acc= 71.2% |
| Epoch  85, time= 12.9s | Train: skip eval | Valid: time=  1.6s loss=0.928, TAw acc= 72.4% | *
| Epoch  86, time= 12.1s | Train: skip eval | Valid: time=  1.9s loss=0.911, TAw acc= 73.0% | *
| Epoch  87, time= 12.3s | Train: skip eval | Valid: time=  1.4s loss=0.937, TAw acc= 72.7% |
| Epoch  88, time= 12.5s | Train: skip eval | Valid: time=  1.7s loss=0.941, TAw acc= 72.6% |
| Epoch  89, time= 12.6s | Train: skip eval | Valid: time=  2.1s loss=0.927, TAw acc= 73.0% |
| Epoch  90, time= 12.8s | Train: skip eval | Valid: time=  1.8s loss=0.938, TAw acc= 72.8% |
| Epoch  91, time= 12.9s | Train: skip eval | Valid: time=  2.1s loss=0.934, TAw acc= 72.9% |
| Epoch  92, time= 13.4s | Train: skip eval | Valid: time=  1.9s loss=0.906, TAw acc= 74.0% | *
| Epoch  93, time= 13.3s | Train: skip eval | Valid: time=  1.7s loss=0.900, TAw acc= 73.3% | *
| Epoch  94, time= 12.5s | Train: skip eval | Valid: time=  1.9s loss=0.909, TAw acc= 74.3% |
| Epoch  95, time= 12.3s | Train: skip eval | Valid: time=  1.9s loss=0.878, TAw acc= 74.1% | *
| Epoch  96, time= 12.2s | Train: skip eval | Valid: time=  1.9s loss=0.922, TAw acc= 73.6% |
| Epoch  97, time= 12.7s | Train: skip eval | Valid: time=  1.5s loss=0.910, TAw acc= 74.0% |
| Epoch  98, time= 12.6s | Train: skip eval | Valid: time=  1.8s loss=0.921, TAw acc= 73.0% |
| Epoch  99, time= 12.5s | Train: skip eval | Valid: time=  2.0s loss=0.928, TAw acc= 72.5% |
| Epoch 100, time= 13.1s | Train: skip eval | Valid: time=  1.9s loss=0.953, TAw acc= 72.5% |
| Epoch 101, time= 13.4s | Train: skip eval | Valid: time=  1.9s loss=0.929, TAw acc= 73.4% |
| Epoch 102, time= 12.6s | Train: skip eval | Valid: time=  1.8s loss=0.937, TAw acc= 73.0% |
| Epoch 103, time= 12.1s | Train: skip eval | Valid: time=  1.9s loss=0.915, TAw acc= 73.2% |
| Epoch 104, time= 12.8s | Train: skip eval | Valid: time=  2.1s loss=0.926, TAw acc= 73.8% |
| Epoch 105, time= 12.4s | Train: skip eval | Valid: time=  1.5s loss=0.930, TAw acc= 72.9% |
| Epoch 106, time= 13.0s | Train: skip eval | Valid: time=  2.0s loss=0.909, TAw acc= 73.3% |
| Epoch 107, time= 13.3s | Train: skip eval | Valid: time=  1.7s loss=0.961, TAw acc= 71.4% |
| Epoch 108, time= 12.4s | Train: skip eval | Valid: time=  1.9s loss=0.954, TAw acc= 72.3% |
| Epoch 109, time= 12.5s | Train: skip eval | Valid: time=  1.5s loss=0.950, TAw acc= 73.1% |
| Epoch 110, time= 12.6s | Train: skip eval | Valid: time=  2.2s loss=0.899, TAw acc= 73.8% |
| Epoch 111, time= 12.4s | Train: skip eval | Valid: time=  2.0s loss=0.952, TAw acc= 72.4% |
| Epoch 112, time= 12.5s | Train: skip eval | Valid: time=  2.1s loss=0.903, TAw acc= 73.5% |
| Epoch 113, time= 12.3s | Train: skip eval | Valid: time=  1.5s loss=0.883, TAw acc= 74.8% |
| Epoch 114, time= 12.3s | Train: skip eval | Valid: time=  1.8s loss=0.947, TAw acc= 72.6% |
| Epoch 115, time= 12.7s | Train: skip eval | Valid: time=  2.1s loss=0.945, TAw acc= 72.6% |
| Epoch 116, time= 11.8s | Train: skip eval | Valid: time=  1.6s loss=0.931, TAw acc= 73.4% |
| Epoch 117, time= 10.4s | Train: skip eval | Valid: time=  1.7s loss=0.974, TAw acc= 72.7% |
